Original order,Case Number,Date,Year,Country,Area,Location,Injury,Fatal (Y/N),Investigator or Source,Date_propre
5959,2016.07.08.R,Reported 08-Jul-2016,2016,SPAIN,Canary Islands,"Las Teresitas, Tenerife","5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,La Opinion de Tenerife,2016-07-08
5958,2016.07.08,08-Jul-16,2016,USA,California,"Capitola, Santa Cruz County","No injury. Hull bitten, tooth fragment recovered",N,"R. Collier, GSAF",2016-07-08
5957,2016.07.07.b,07-Jul-16,2016,USA,Massachusetts,"Off Gloucester, Essec County",Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,Salem News 7/8/2016,2016-07-07
5956,2016.07.07.a,07-Jul-16,2016,USA,California,"Off Palos Verdes peninsula, Los Angeles County","No injury. Hull bitten, tooth fragment recovered",N,"R. Collier, GSAF",2016-07-07
5955,2016.07.06,06-Jul-16,2016,USA,Florida,"Melbourne Beach, Brevard County","Buttocks, thigh, left hand & wrist injured",N,"Florida Today, 7/6/2016",2016-07-06
5954,2016.07.04,04-Jul-16,2016,AUSTRALIA,Queensland,Palm Cove ,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,"Cairns Post, 7/9/2016",2016-07-04
5953,2016.06.27,27-Jun-16,2016,USA,South Carolina,Sullivan's Island,Minor injury,N,"C. Creswell, GSAF",2016-06-27
5952,2016.06.25,25-Jun-16,2016,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Foot injured,N,"C. Creswell, GSAF",2016-06-25
5951,2016.06.24,24-Jun-16,2016,COLUMBIA,Isla Provedencia,nc.,Severe bite to right hand,N,Dr. A. Velez,2016-06-24
5950,2016.06.23,23-Jun-16,2016,SOUTH AFRICA,Western Cape Province,Ryspunt,Injuries to left leg & right hand,N,"News 24, 6/23/2016",2016-06-23
5949,2016.06.21.b,21-Jun-16,2016,USA,South Carolina,"North Myrtle Beach, Horry County",Lacerations and punctures to foot,N,"C. Creswell, GSAF",2016-06-21
5948,2016.06.21.a,21-Jun-16,2016,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Injuries to right calf,N,"Florida Today, 6/22/2016",2016-06-21
5947,2016.06.15.b,15-Jun-16,2016,USA,Hawaii,"Kalapaki Beach, Kauai",Single puncture wound to arm,N,"West Hawaii Today, 6/16/2016",2016-06-15
5946,2016.06.15.a,15-Jun-16,2016,AUSTRALIA,Western Australia,Coral Bay,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,"Perth Now, 6/16/2016",2016-06-15
5945,2016.06.14,14-Jun-16,2016,USA,Texas,"Pirates Beach, Galveston",Injury to lower leg,N,"Click2Houston, 6/14/2016",2016-06-14
5944,2016.06.11,11-Jun-16,2016,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Laceration to wrist,N,"C. Creswell, GSAF",2016-06-11
5943,2016.06.07,07-Jun-16,2016,USA,South Carolina,"Folly Beach, Charleston County","No injury, board damaged",N,"C. Creswell, GSAF",2016-06-07
5942,2016.06.05.b,05-Jun-16,2016,USA,Florida,"Flagler Beach, Flagler County",Leg bitten,N,"Daytona Beach News-Journal, 6/5/2016",2016-06-05
5941,2016.06.05.a,05-Jun-16,2016,AUSTRALIA,Western Australia,Mindarie,FATAL,Y,"B. Myatt, GSAF",2016-06-05
5940,2016.06.04,04-Jun-16,2016,EGYPT,Suez,Ain Sokhna,"Leg severely bitten, surgically amputated",N,"Ahram Online, 6/4/2016",2016-06-04
5939,2016.06.02.b,02-Jun-16,2016,AUSTRALIA,New South Wales,Kingscliff,"No injury, but sharks repeatedly hit their fins and guns",Nc.,"Gold Coast Bulletin, 6/4/2016",2016-06-02
5938,2016.06.02.a,02-Jun-16,2016,NEW CALEDONIA,nc.," Côte-Blanche, Nouméa ",Laceration to heel,N,"Les Nouvelles Caledoniennes, 6/3/2016",2016-06-02
5937,2016.05.31,31-May-16,2016,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",FATAL,Y,"Perth Now, 5/31/2016",2016-05-31
5936,2016.05.29.b,29-May-16,2016,USA,California,"Corona Del Mar, Newport, Orange County",Injuries to arm and shoulder,N,"R. Collier, GSAF",2016-05-29
5935,2016.05.29.a,29-May-16,2016,USA,Florida,"Neptune, Duval County",Injury to posterior right leg,N,"News4Jax, 5/29/2016",2016-05-29
5934,2016.05.22,22-May-16,2016,USA,Florida,"Vero Beach, Indian River County",Puncture wounds to thigh,N,"Florida Today, 5/22/2016",2016-05-22
5933,2016.05.21.b,21-May-16,2016,USA,Florida,"St. Petersburg, Pinellas County",Lacerations and puncture wounds to foot and ankle,N,"ABC Action News, 6/15/2016",2016-05-21
5932,2016.05.21.a,21-May-16,2016,USA,Florida,"Hugenot Beach , Jacksonville, Duval County","Back, arm & hand injured",N,"Action News Jax, 5/23/2016",2016-05-21
5931,2016.05.18,18-May-16,2016,USA,Florida,"Ponte Vedra, St. Johns County",Ankle bitten,N,"News4Jax, 5/19/2016",2016-05-18
5930,2016.05.15,15-May-16,2016,USA,Florida,"Boca Raton, Palm Beach County",Arm grabbed PROVOKED INCIDENT,N,"CBS News, 5/16/2016",2016-05-15
5929,2016.05.03,03-May-16,2016,USA,Hawaii,"Wailea Beach, Maui",Minor lacerations to right shoulder,N,"Maui Now, 5/3/2016",2016-05-03
5928,2016.05.02,02-May-16,2016,NEW ZEALAND,North Island,Cormandel,Foot bitten by landed shark PROVOKED INCIDENT,N,Radio New Zealand  5/3/2016,2016-05-02
5927,2016.04.25,25-Apr-16,2016,INDONESIA,Bali,Balian,Elbow bitten,N,"News.com.au, 4/26/2016",2016-04-25
5926,2016.04.23,23-Apr-16,2016,USA,Florida,"New Smyrna Beach, Volusia County",Minor injury to left foot,N,"News4Jax, 4/23/2016",2016-04-23
5925,2016.04.22,22-Apr-16,2016,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay","No injury, surf-ski bitten",N,"Knysna-Plett Herald, 4/22/2016",2016-04-22
5924,2016.04.19,19-Apr-16,2016,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Minor puncture wound to foot,N,"Gold Coast Bulletin, 4/19/2016",2016-04-19
5923,2016.04.18,18-Apr-16,2016,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,"Tahiti Infos, 4/19/2016",2016-04-18
5922,2016.04.13,13-Apr-16,2016,USA,Florida,"Off Singer Island, Palm Beach County",Multiple bites to right arm,N,"Palm Beach Post, 4/13/2016",2016-04-13
5921,2016.04.09,09-Apr-16,2016,NEW CALEDONIA,Grand Terre,Poe Beach,FATAL,Y,Les Nouvelles Caledonnie. 4/11/2016,2016-04-09
5920,2016.04.08,08-Apr-16,2016,CAPE VERDE,Boa Vista Island,nc.,"""Serious""",N,L.O.Guttke,2016-04-08
5919,2016.04.07.b,07-Apr-16,2016,USA,Florida,"Florida Keys, Monroe County",Left hand bitten,N,nc.,2016-04-07
5918,2016.04.07.a,07-Apr-16,2016,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N,YouTube,2016-04-07
5917,2016.03.31,31-Mar-16,2016,USA,Hawaii,"Olowalu, Maui",Minor injury to left foot,N,"Maui Now, 3/31/2016",2016-03-31
5916,2016.03.30,30-Mar-16,2016,AUSTRALIA,New South Wales,Bombo Beach,Severe injury to thigh,N,"Daily Telegraph, 3/30/2016",2016-03-30
5915,2016.03.28.b,28-Mar-16,2016,USA,Florida,"Fort Myers Beach, Lee County",Minor injury to arm. Possibly caused by smalll nurse shark,N,"Fox 35, 3/30/2015",2016-03-28
5914,2016.03.28.a,28-Mar-16,2016,AUSTRALIA,New South Wales,North Cronulla Beach,"No injury, board dented",N,"B. Myatt, GSAF",2016-03-28
5913,2016.03.26,26-Mar-16,2016,BAHAMAS,nc.,nc.,Minor injury to chest PROVOKED INCIDENT,N,"Wisconsin State Journal, 4/2/2016",2016-03-26
5912,2016.03.13,13-Mar-16,2016,USA,California,"Bolsa Chica State Park, Orange County",Board reportedly bumped by shark. No injury,N,"Orange County Register, 3/13/2016",2016-03-13
5911,2016.03.11,11-Mar-16,2016,USA,Florida,"Vero Beach, St. Lucie County",Lacerations to right foot and ankle,N,"WCBV-5, 3/31/206",2016-03-11
5910,2016.03.10,10-Mar-16,2016,Fiji,Vanua Levu,nc.,FATAL,Y,"Fiji Sun, 3/12/2016",2016-03-10
5909,2016.03.04,04-Mar-16,2016,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Superficial injury to foot,N,WPTV. 3/4/2016,2016-03-04
5908,2016.03.03.R,Reported 03-Mar-2016,2016,AUSTRALIA,South Australia,Wrights Bay,Puncture wounds to right calf,N,"9 News, 3/1/2016",2016-03-03
5907,2016.03.02,02-Mar-16,2016,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Minor injury to head,N,"Misones Online, 3/4/2016",2016-03-02
5906,2016.02.22,22-Feb-16,2016,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Puncture wounds to right thigh,N,"Les Nouvelles Calédoniennes, 2/23/2016",2016-02-22
5905,2016.02.19, 19-Feb-2016,2016,NEW CALEDONIA,South Province,Yate,Forearm bitten,N,"Les Nouvelles Calédoniennes, 2/19/2016",2016-02-19
5904,2016.02.12,12-Feb-16,2016,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",Avulsion injury to lower leg,N,S. Harris,2016-02-12
5903,2016.02.10.R,Reported 10-Feb-2016,2016,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,Minor injury to wrist from Southern stingray,N,R. Branson,2016-02-10
5902,2016.02.10,10-Feb-16,2016,AUSTRALIA,Tasmania,Nettley Bay,"No injury, knocked off board",N,"C. Black, GSAF",2016-02-10
5901,2016.02.05,05-Feb-16,2016,AUSTRALIA,Queensland,Stradbroke Island,Foot nipped,N,"Courier Mail, 2/5/2016",2016-02-05
5900,2016.02.04,04-Feb-16,2016,AUSTRALIA,New South Wales,Hams Beach,"No injury, shark bit board",N,"B. Myatt, GSAF",2016-02-04
5899,2016.01.29,29-Jan-16,2016,SOUTH AFRICA,KwaZulu-Natal,nc.,"No injury, shark capsized kayak",N,"Nine News, 2/1/2016",2016-01-29
5898,2016.01.28,28-Jan-16,2016,USA,Hawaii,"Hanalei Bay, Kauai",Lacerations to both hands,N,KHON2. 1/28/2016,2016-01-28
5897,2016.01.25,25-Jan-16,2016,USA,Hawaii,"Hanalei Bay, Kauai, ",No injury,N,"The Garden Island, 2/2/2016",2016-01-25
5896,2016.01.24.b,24-Jan-16,2016,USA,Texas,Off Surfside,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,K. Love,2016-01-24
5895,2016.01.24.a,24-Jan-16,2016,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,"No injury to occupants, shark leapt into boat",N,"Gulf News, 1/25/2016",2016-01-24
5894,2016.01.23,23-Jan-16,2016,USA,Hawaii,"Wailea Beach, Maui",No injury,N,"Grand Forks Herald, 1/27/2915",2016-01-23
5893,2016.01.11.R,Reported 11-Jan-2016,2016,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Laceration to right foot,N,"ABC Sunshine Coast, 1/11/2016",2016-01-11
5892,2016.01.05,05-Jan-16,2016,AUSTRALIA,Queensland,Heron Island,Laceration to right calf,N,"Nine News, 1/5/2016",2016-01-05
5891,2016.01.02,02-Jan-16,2016,AUSTRALIA,Queensland,Miall Island,Lacerations to arms & leg,N,"Courier Mail, 1/2/2016",2016-01-02
5890,2015.12.26,26-Dec-15,2015,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,"No injury, kayak damaged",N,"Traveller24, 12/26/2015",2015-12-26
5889,2015.12.25,25-Dec-15,2015,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Lacerations to left forearm,N,"Diaro de Visos, 12/26/2015",2015-12-25
5888,2015.12.22,22-Dec-15,2015,USA,Hawaii,La'aloa Beach Park,"No injury, shark bit board",N,"West Hawaii Today, 12/23/2015",2015-12-22
5887,2015.12.21.b,21-Dec-15,2015,AUSTRALIA,New South Wales,Bondi Beach,"No injury, shark leapt on surfboard",N,"The Telegraph, 12/22/;2015",2015-12-21
5886,2015.12.21.a,21-Dec-15,2015,BRAZIL,Pernambuco,Fernano de Noronha,Right hand & part of forearm removed,N,"Fox News, 12/22/2015",2015-12-21
5885,2015.12.19,19-Dec-15,2015,ARUBA,nc.,Boat capsized,FATAL,Y,"Fox News, 12/11/2015",2015-12-19
5884,2015.12.13,13-Dec-15,2015,AUSTRALIA,New South Wales,Lake Macquarie,"No injury, shark rammed boat & bit motor",N,"Courier Mail, 12/15/2015",2015-12-13
5883,2015.12.11,11-Dec-15,2015,BAHAMAS,nc.,Off Andros Island,"Bitten on thigh, abdomen & hand",N,"Nassau Guardian, 12/12/2015",2015-12-11
5882,2015.12.08,08-Dec-15,2015,SOUTH AFRICA,Eastern Cape Province,Mpande,Lacerations to both hands and forearms,N,"The Bulletin, 12/17/2015",2015-12-08
5880,2015.11.16,16-Nov-15,2015,USA,Florida,"Playalinda Beach, Brevard County",Right heel injured,N,WFTV. 11/17/2015,2015-11-16
5879,2015.11.15.b,15-Nov-15,2015,USA,Florida,"Palm Beach, Palm Beach County",Leg injured,N,"Palm Beach Post, 11/16/2015",2015-11-15
5878,2015.11.15.a,15-Nov-15,2015,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Lacerations to hand,N,"5WPTV, 11/15/2015",2015-11-15
5877,2015.11.10,10-Nov-15,2015,AUSTRALIA,New South Wales,East Ballina,Injury to left thigh,N,"The Sydney Morning Herald, 11/11/2015",2015-11-10
5876,2015.12.23,07-Nov-15,2015,USA,Florida,"Paradise Beach, Melbourne, Brevard County",Lower left leg injured,N,"Fox25Orlando, 11/7/2015",2015-12-23
5875,2015.11.03,03-Nov-15,2015,USA,Hawaii,"Kehena Beach, Hawaii",Laceration to right ankle,N,"Hawaii News Now, 11/4/2015",2015-11-03
5874,2015.11.01.b,01-Nov-15,2015,USA,Florida,"Cocoa Beach, Brevard  County",Injury to right ankle/calf & hand,N,"USA Today, 11/1/2015",2015-11-01
5873,2015.11.01.a,01-Nov-15,2015,MOZAMBIQUE,Inhambane Province,Maxixe,"Arms severely injured, surgically amputated",N,"Coastweek, 12/3/2015",2015-11-01
5872,2015.10.30,30-Oct-15,2015,AUSTRALIA,Western Australia,Bald Island,Minor injury,N,"Perth Now, 10/30/2015",2015-10-30
5871,2015.10.28.a,28-Oct-15,2015,USA,Hawaii,"Malaka, Oahu","Lacerations & puncture wounds to right thigh, calf & ankle",N,"Star Advertiser, 10/28/2015",2015-10-28
5870,2015.10.25,25-Oct-15,2015,SOUTH AFRICA,Western Cape Province,Stil Bay,"Lacerations to right calf, knee & hip",N,"News 24, 10/26/2015",2015-10-25
5869,2015.10.21,21-Oct-15,2015,USA,Florida,"Playalinda Beach, Brevard County",Lacerations to left hand,N,"ClickOrlando.com, 10/21/2015",2015-10-21
5868,2015.10.19,19-Oct-15,2015,USA,Florida,"Deerfield Beach, Broward County",Left foot bitten,N,"NBC6.com, 10/19/2015",2015-10-19
5867,2015.10.17.c,17-Oct-15,2015,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",FATAL,Y,Xinhua News Agency,2015-10-17
5866,2015.10.17.b,17-Oct-15,2015,USA,Hawaii,"Waikiki, ",Left foot bitten by eel,N,"KHON2, 10/17/2015",2015-10-17
5865,2015.10.17.a,17-Oct-15,2015,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Injuries to lower legs,N,"KHON2, 10/17/2015",2015-10-17
5864,2015.10.13,13-Oct-15,2015,USA,California,"Off Leffingwell Landing, San Luis Obispo County","No injury, shark rammed kayak repeatedly",N,"The Tribune, 10/28/2015",2015-10-13
5863,2015.10.09.b,09-Oct-15,2015,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Laceration to forearm,N,"C. Creswell, GSAF",2015-10-09
5862,2015.10.09.a,09-Oct-15,2015,USA,Hawaii,"Leftovers, Oahu","Left leg severed below the knee, defense injuries to left hand",N,"Hawaii News Now, 10/9/2015",2015-10-09
5861,2015.10.08,08-Oct-15,2015,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay","Arm severely injured, surgically amputated",N,Club of Mozambique,2015-10-08
5860,2015.10.07,07-Oct-15,2015,AUSTRALIA,Western Australia,Pyramids Beach,Foot injured,N,"Daily Mail, 10/7/2015",2015-10-07
5859,2015.10.05.b,05-Oct-15,2015,USA,Florida,"Pepper Park Beach, St. Lucie County",2 lacerations to ankle,N,"WPBF.com, 10/6/2015",2015-10-05
5858,2015.10.05.a,05-Oct-15,2015,USA,Texas,Galveston,Foot & hands bitten,N,"Houston Chronicle, 10/5/2015",2015-10-05
5857,2015.10.04,04-Oct-15,2015,USA,Florida,"New Smyrna Beach, Volusia County",Severe lacerations to left hand,N,"CNN, 10/4/2015",2015-10-04
5856,2015.09.29,29-Sep-15,2015,USA,Florida,"Vilano Beach, St.  Johns County","Laceration to heel, puncture wounds to dorsum of foot",N,"First Coast News, 9/30/2015",2015-09-29
5855,2015.09.26,26-Sep-15,2015,AUSTRALIA,Queensland,"Russel Island, Frankland Group",Laceration to leg,N,"The Cairns Post, 9/28/2015",2015-09-26
5854,2015.09.24,24-Sep-15,2015,USA,California,"Horseshoe Rock, Santa Barbara County","No injury, kayak damaged",N,R. Collier,2015-09-24
5853,2015.09.20.d,20-Sep-15,2015,USA,Florida,"New Smyrna Beach, Volusia County",Minor injury to left ankle,N,"Orlando Sentinel, 9/20/2015",2015-09-20
5852,2015.09.20.c,20-Sep-15,2015,USA,Hawaii,"Upolu Point, North Kohala, Big Island",Severe laceration to left leg,N,"Big Island Video, 9/20/2015",2015-09-20
5851,2015.09.20.b,20-Sep-15,2015,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",Significant injuries to leg,N,"News4Jax, 9/21/2015",2015-09-20
5850,2015.09.20.a,20-Sep-15,2015,USA,Florida,"Vilano Beach, St.  Johns County",Injury to right hand / wrist,N,"News4JAX, 9/21/2015",2015-09-20
5849,2015.09.18,18-Sep-15,2015,USA,Florida,"Big Talbot Island, Duval County",Lacerations to calf,N,"Action News Jax, 9/23/2015",2015-09-18
5848,2015.09.17,17-Sep-15,2015,USA,Florida,"Jacksonville Beach, Duval County",Injury to right foot,N,"News4JAX, 9/15/2015",2015-09-17
5847,2015.09.08,08-Sep-15,2015,AUSTRALIA,New South Wales,North Shelly Beach,Minor laceration to hand,N,"ABC News, 9/8/2015",2015-09-08
5846,2015.09.06,06-Sep-15,2015,USA,California,"El Pescador Beach, Los Angeles County","No injury, shark struck board, tossing her into the sea",N,"R. Collier, GSAF",2015-09-06
5845,2015.09.05,05-Sep-15,2015,USA,California,"Deer Creek Beach, Ventura County",Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,"R. Collier, GSAF",2015-09-05
5844,2015.09.04,04-Sep-15,2015,AUSTRALIA,New South Wales,Hallidays Point,Inuries to lower left leg & ankle,N,"The Sydney Morning Herald, 9/4/2015",2015-09-04
5843,2015.09.03,03-Sep-15,2015,USA,South Carolina,"Myrtle Beach, Horry County",Right foot bitten,N,"C. Creswell, GSAF",2015-09-03
5842,2015.09.01,01-Sep-15,2015,THAILAND,Phuket,Karon Beach,Left foot & ankle bitten,N,"Phuket Gazette, 9/1/2015",2015-09-01
5841,2015.09.00,Sep-15,2015,FIJI,nc.,nc.,Leg bitten,N,"Fiji Times, 2/8/2016",2015-09-00
5840,2015.08.29.b,29-Aug-15,2015,USA,California,"Morro Strand State Beach, San Luis Obispo County","No injury, surfboard bitten",N,"R. Collier, GSAF",2015-08-29
5839,2015.08.29.a,29-Aug-15,2015,USA,California,"Morro Bay, San Luis Obispo County","No injury, shark struk sufer's leg and his board",N,"R. Collier, GSAF",2015-08-29
5838,2015.08.22.b,22-Aug-15,2015,USA,Florida,"Cocoa Beach, Brevard  County",Wound to right lower leg,N,"Brevard Times, 8/22/2015",2015-08-22
5837,2015.08.22.a,22-Aug-15,2015,AUSTRALIA,New South Wales,Lighthouse Beach,Severe laceration to left buttock & thigh,N,"Daily Telegraph, 8/22/2015",2015-08-22
5836,2015.08.20,20-Aug-15,2015,USA,South Carolina,"Murrells Inlet, Georgetown County","Injuries to left calf, arm and hand",N,"C. Creswell, GSAF",2015-08-20
5835,2015.08.19,19-Aug-15,2015,USA,Florida,"Jacksonville Beach, Duval County",Lacerations to right leg,N,"ABC News, 8/21/2015",2015-08-19
5834,2015.08.18.b,18-Aug-15,2015,USA,California,Santa Barbara County,"No injury, kayak bitten",N,"R. Collier, GSAF",2015-08-18
5833,2015.08.18.a,18-Aug-15,2015,SPAIN,Alicante,"Poniente Beach, Benidorm",Minor injury when he attempted to touch a fish.,N,"The Local, 8/18/2015",2015-08-18
5832,2015.08.10,10-Aug-15,2015,USA,California,Cortes Bank,Right hand bitten  PROVOKED INCIDENT,N,"NBC San Diego, 8/13/2015",2015-08-10
5831,2015.07.31,31-Jul-15,2015,AUSTRALIA,New South Wales,Evans Head,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,"Daily Telegraph, 7/31/2015",2015-07-31
5830,2015.07.26.b,26-Jul-15,2015,USA,Florida,"Daytona Beach, Volusia County",Minor injury to sole of foot,N,CBS 7/27/2015,2015-07-26
5829,2015.07.26.a,26-Jul-15,2015,USA,South Carolina,"Edisto Beach, Colleton County","2' cut to dorsum of foot, 2 puncture wounds to sole",N,"C. Creswell, GSAF, ABC 11, 7/27/2015",2015-07-26
5828,2015.07.25,25-Jul-15,2015,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",FATAL,Y,"C. Black, GSAF",2015-07-25
5827,2015.07.23.b,23-Jul-15,2015,USA,California,"La Jolla, San Diego County",No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,"NBC San Diego, 7/27/2015",2015-07-23
